Date,Open,High,Low,Close,Volume
12.04.1928,122.599,122.605,122.557,122.580,574
13.04.1928,122.580,122.612,122.575,122.596,339
14.04.1928,122.596,122.644,122.578,122.631,501
15.04.1928,122.632,122.656,122.614,122.617,778
16.04.1928,122.617,122.617,122.549,122.602,416
17.04.1928,122.602,122.602,122.485,122.524,202
18.04.1928,122.524,122.528,122.488,122.494,146
19.04.1928,122.494,122.563,122.457,122.536,436
20.04.1928,122.535,122.559,122.526,122.534,544
21.04.1928,122.534,122.537,122.516,122.524,167
22.04.1928,122.523,122.579,122.511,122.567,394
23.04.1928,122.567,122.570,122.529,122.531,205
24.04.1928,122.531,122.542,122.497,122.521,178
25.04.1928,122.521,122.521,122.496,122.505,177
26.04.1928,122.506,122.528,122.500,122.522,204
27.04.1928,122.522,122.525,122.515,122.524,186
28.04.1928,122.524,122.527,122.513,122.517,166
29.04.1928,122.517,122.524,122.507,122.512,150
30.04.1928,122.512,122.513,122.450,122.450,156
1.05.1928,122.450,122.452,122.370,122.396,279
2.05.1928,122.396,122.412,122.368,122.402,304
3.05.1928,122.402,122.421,122.382,122.415,339
4.05.1928,122.415,122.420,122.367,122.387,371
5.05.1928,122.383,122.386,122.302,122.362,437
6.05.1928,122.362,122.385,122.295,122.307,516
7.05.1928,122.306,122.364,122.306,122.363,480
8.05.1928,122.363,122.370,122.321,122.328,498
9.05.1928,122.328,122.359,122.328,122.352,521
10.05.1928,122.352,122.357,122.296,122.308,420
11.05.1928,122.309,122.310,122.203,122.234,720
12.05.1928,122.235,122.237,122.174,122.192,761
13.05.1928,122.192,122.325,122.192,122.248,584
14.05.1928,122.248,122.257,122.164,122.216,910
15.05.1928,122.218,122.295,122.189,122.221,1052
16.05.1928,122.221,122.329,122.209,122.316,978
17.05.1928,122.318,122.331,122.146,122.204,1239
18.05.1928,122.203,122.363,122.202,122.221,1041
19.05.1928,122.221,122.372,122.220,122.305,843
20.05.1928,122.305,122.327,122.185,122.187,701
21.05.1928,122.185,122.248,122.147,122.150,738
22.05.1928,122.150,122.207,122.148,122.155,655
23.05.1928,122.152,122.191,122.100,122.129,674
24.05.1928,122.129,122.218,122.119,122.158,861
25.05.1928,122.158,122.227,121.912,121.942,1038
26.05.1928,121.942,122.288,121.942,122.259,989
27.05.1928,122.259,122.410,122.251,122.311,912
28.05.1928,122.312,122.332,122.253,122.281,719
29.05.1928,122.283,122.302,122.165,122.204,964
30.05.1928,122.203,122.251,122.043,122.065,784
31.05.1928,122.065,122.119,122.055,122.100,837
1.06.1928,122.100,122.123,122.045,122.047,901
2.06.1928,122.047,122.248,122.047,122.226,949
3.06.1928,122.227,122.311,122.160,122.227,753
4.06.1928,122.219,122.295,122.177,122.192,880
5.06.1928,122.193,122.321,122.186,122.230,826
6.06.1928,122.232,122.291,122.060,122.066,850
7.06.1928,122.063,122.152,121.961,122.091,809
8.06.1928,122.092,122.170,122.047,122.105,697
9.06.1928,122.106,122.109,121.967,121.971,645
10.06.1928,121.972,122.021,121.933,121.980,677
11.06.1928,121.980,121.987,121.745,121.772,789
12.06.1928,121.772,121.847,121.763,121.772,304
13.06.1928,121.772,121.874,121.766,121.804,800
14.06.1928,121.807,121.852,121.730,121.757,864
15.06.1928,121.757,121.770,121.646,121.689,877
16.06.1928,121.689,121.784,121.616,121.643,865
17.06.1928,121.648,121.712,121.557,121.619,1104
18.06.1928,121.621,121.764,121.619,121.695,376
19.06.1928,121.695,121.742,121.561,121.601,507
20.06.1928,121.604,121.636,121.526,121.584,602
21.06.1928,121.584,121.636,121.537,121.540,657
22.06.1928,121.541,121.631,121.472,121.602,764
23.06.1928,121.602,121.634,121.519,121.525,500
24.06.1928,121.525,121.582,121.479,121.496,566
25.06.1928,121.492,121.492,121.404,121.414,660
26.06.1928,121.415,121.488,121.294,121.355,584
27.06.1928,121.354,121.411,121.295,121.301,498
28.06.1928,121.300,121.302,121.012,121.063,1010
29.06.1928,121.059,121.108,121.017,121.045,613
30.06.1928,121.045,121.079,120.997,120.998,621
1.07.1928,120.998,121.016,120.993,121.001,616
2.07.1928,121.001,121.003,120.894,120.897,505
3.07.1928,120.897,120.902,120.845,120.860,422
4.07.1928,120.861,121.073,120.848,121.066,760
5.07.1928,121.066,121.079,121.025,121.063,347
6.07.1928,121.063,121.213,121.053,121.212,416
7.07.1928,121.212,121.352,121.167,121.227,387
8.07.1928,121.227,121.276,121.081,121.113,533
9.07.1928,121.115,121.152,120.964,120.995,486
10.07.1928,120.995,121.135,120.945,120.945,532
11.07.1928,120.945,121.083,120.864,120.948,593
12.07.1928,120.948,121.173,120.948,121.105,687
13.07.1928,121.104,121.132,120.932,121.009,1091
14.07.1928,121.009,121.094,120.883,120.908,944
15.07.1928,120.913,121.004,120.857,120.940,1009
16.07.1928,120.940,121.078,120.930,121.039,925
17.07.1928,121.034,121.052,121.009,121.037,580
18.07.1928,121.035,121.081,120.999,121.041,652
19.07.1928,121.041,121.103,120.997,121.070,740
20.07.1928,121.070,121.119,120.951,120.981,969
21.07.1928,120.987,121.038,120.894,120.918,936
22.07.1928,120.930,121.040,120.925,121.011,830
23.07.1928,121.011,121.046,120.948,120.978,749
24.07.1928,120.977,121.025,120.869,120.917,1150
25.07.1928,120.917,121.061,120.907,120.970,1069
26.07.1928,120.970,121.040,120.908,120.938,949
27.07.1928,120.938,120.961,120.894,120.908,413
28.07.1928,120.907,120.930,120.891,120.916,420
29.07.1928,120.916,120.952,120.807,120.826,525
30.07.1928,120.826,120.884,120.812,120.841,530
31.07.1928,120.841,121.015,120.761,121.014,913
1.08.1928,121.014,121.015,120.953,120.974,790
2.08.1928,120.974,120.992,120.576,120.593,950
3.08.1928,120.594,120.710,120.539,120.708,986
4.08.1928,120.708,120.711,120.541,120.589,1032
5.08.1928,120.589,120.621,120.481,120.483,701
6.08.1928,120.483,120.510,120.303,120.498,1265
7.08.1928,120.497,120.684,120.471,120.678,1010
8.08.1928,120.679,120.807,120.679,120.787,1063
9.08.1928,120.786,120.918,120.685,120.893,1079
10.08.1928,120.894,120.934,120.789,120.923,874
11.08.1928,120.927,120.936,120.777,120.849,1020
12.08.1928,120.849,120.986,120.809,120.876,1191
13.08.1928,120.870,120.870,120.628,120.628,1260
14.08.1928,120.628,120.676,120.403,120.412,1142
15.08.1928,120.412,120.501,120.342,120.425,1227
16.08.1928,120.423,120.435,120.288,120.321,803
17.08.1928,120.321,120.503,120.301,120.458,1051
18.08.1928,120.458,120.490,120.302,120.338,1143
19.08.1928,120.340,120.518,120.317,120.503,899
20.08.1928,120.499,120.701,120.471,120.661,951
21.08.1928,120.661,120.661,120.516,120.623,1046
22.08.1928,120.622,120.733,120.576,120.647,843
23.08.1928,120.647,120.678,120.589,120.651,836
24.08.1928,120.652,120.698,120.547,120.553,1120
25.08.1928,120.553,120.553,120.386,120.421,968
26.08.1928,120.421,120.442,120.310,120.395,1000
27.08.1928,120.395,120.490,120.357,120.428,996
28.08.1928,120.427,120.484,120.348,120.405,835
29.08.1928,120.405,120.407,120.050,120.158,1246
30.08.1928,120.156,120.185,120.018,120.123,1074
31.08.1928,120.124,120.298,120.034,120.278,740
1.09.1928,120.278,120.371,120.227,120.320,770
2.09.1928,120.320,120.400,120.311,120.368,601
3.09.1928,120.368,120.488,120.337,120.438,958
4.09.1928,120.439,120.500,120.425,120.500,728
5.09.1928,120.502,120.536,120.444,120.499,803
6.09.1928,120.500,120.574,120.499,120.556,536
7.09.1928,120.556,120.563,120.340,120.432,657
8.09.1928,120.432,120.528,120.421,120.495,626
9.09.1928,120.495,120.505,120.436,120.498,465
10.09.1928,120.498,120.532,120.422,120.461,861
11.09.1928,120.460,120.645,120.410,120.620,793
12.09.1928,120.620,120.701,120.589,120.613,672
13.09.1928,120.613,120.727,120.573,120.628,781
14.09.1928,120.630,120.947,120.620,120.912,1116
15.09.1928,120.911,120.911,120.736,120.804,699
16.09.1928,120.806,120.936,120.801,120.899,738
